player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rzRecTarg,rzRecRec,rzRecTds,rzRecTargPct,rzRecRecPct,rzRecTdPct,ezRecTarg,ezRecTds,ezRecTargPct,ezRecRecPct,ezRecTdPct,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,tat,fumbles,rzRushCarries,rzRushTds,rzRushPct,rzRushTdPct,i5RushCarries,i5RushTds,i5RushPct,i5RushTdPct,patConversions,patAttempts,fantasyPts,ptsPerSnap,ptsPerTouch
Michael Thomas,NO,3,WR,22,16,0,171,0,3,0,1,72.7,10.55,7.77,10.69,1.56,5,4,3,22.7,25,100,3,3,13.6,18.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,0.38,3.19
Skyy Moore,KC,16,WR,32,22,0,250,0,0,0,1,68.8,8.81,7.81,11.36,6.64,3,2,0,9.4,9.1,0,1,0,3.1,0,0,3,0,24,0,0,0,8,1.67,0,0,0,1,0,33.3,0,0,0,0,0,0,0,49.4,0.16,1.98
Sammy Watkins,BLT,12,WR,27,16,3,325,0,0,0,2,59.3,13.19,12.04,20.31,7.88,6,2,0,22.2,12.5,0,2,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48.5,0.14,3.03
Brandon Powell,LA,17,WR,31,24,0,156,0,0,0,0,77.4,1.42,5.03,6.5,7.67,7,5,0,22.6,20.8,0,0,0,0,0,0,17,0,80,0,0,0,4.71,3.18,1,0.06,0,3,0,17.6,0,0,0,0,0,0,0,47.6,0.16,1.16
David Bell,CLV,16,WR,32,24,0,214,0,0,0,2,75,6.59,6.69,8.92,3.08,3,3,0,9.4,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,0.09,1.89
Amari Rodgers,HST,14,WR,23,16,0,204,0,1,0,1,69.6,10.7,8.87,12.75,4,3,1,1,13,6.3,100,1,0,4.3,0,0,2,0,7,0,0,0,3.5,1.5,0,0,2,0,0,0,0,0,0,0,0,0,1,43.1,0.16,2.39
Ashton Dulin,IND,12,WR,20,15,0,207,0,1,0,0,75,13.3,10.35,13.8,2.33,5,4,1,25,26.7,100,2,1,10,6.7,100,2,0,8,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0.19,2.5
Scotty Miller,TB,14,WR,40,23,0,185,0,0,0,1,57.5,13.03,4.63,8.04,1.57,15,7,0,37.5,30.4,0,2,0,5,0,0,1,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3,0.16,1.76
Velus Jones Jr.,CHI,11,WR,12,7,1,107,0,1,0,1,58.3,19.17,8.92,15.29,6,3,1,1,25,14.3,100,0,0,0,0,0,9,1,104,0,1,1,11.56,8.56,2,0.22,1,1,0,11.1,0,0,0,0,0,0,0,40.1,0.25,2.51
KhaDarel Hodge,ATL,17,WR,19,13,0,202,0,1,0,1,68.4,12.89,10.63,15.54,4.69,4,3,1,21.1,23.1,100,1,1,5.3,7.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39.2,0.2,3.02
Marquez Callaway,NO,14,WR,32,16,0,158,0,1,0,2,50,12.53,4.94,9.88,2.44,9,3,1,28.1,18.8,100,4,1,12.5,6.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,0.1,2.36
Zach Pascal,PHI,17,WR,18,15,0,150,0,1,0,0,83.3,5.28,8.33,10,5.93,4,4,1,22.2,26.7,100,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,100,0,0,0,0,0,0,0,36,0.11,2.25
Byron Pringle,CHI,11,WR,15,10,0,135,0,2,0,0,66.7,15.53,9,13.5,1.5,4,2,2,26.7,20,100,3,1,20,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,0.13,3.55
Sterling Shepard,NYG,3,WR,21,13,1,154,0,1,1,2,61.9,10.62,7.33,11.85,4,3,1,0,14.3,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,0.21,2.65
Jalen Nailor,MIN,6,WR,12,9,1,179,0,1,1,0,75,12.42,14.92,19.89,7.56,2,2,1,16.7,22.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9,0.56,3.66
Dyami Brown,WAS,15,WR,12,5,1,143,1,2,1,0,41.7,27.33,11.92,28.6,6.2,4,1,1,33.3,20,50,1,0,8.3,0,0,1,0,15,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8,0.19,5.47
Khalil Shakir,BUF,14,WR,17,10,0,161,0,1,0,1,58.8,12,9.47,16.1,7.5,3,1,1,17.6,10,100,2,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32.1,0.12,3.21
Steven Sims,PIT,12,WR,22,14,0,104,0,0,0,0,63.6,5.41,4.73,7.43,4.5,1,0,0,4.5,0,0,1,0,4.5,0,0,13,0,70,0,0,0,5.38,3.15,3,0.23,0,1,0,7.7,0,0,0,0,0,0,0,31.4,0.11,1.16
River Cracraft,MIA,11,WR,14,9,0,102,0,2,0,0,64.3,9.29,7.29,11.33,2.78,4,3,2,28.6,33.3,100,3,2,21.4,22.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2,0.2,3.47
Keelan Cole,LV,14,WR,22,10,0,141,0,1,0,2,45.5,17.27,6.41,14.1,2.2,7,2,1,31.8,20,100,5,1,22.7,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1,0.08,3.01
Denzel Mims,NYJ,10,WR,25,11,1,186,0,0,0,2,44,12.68,7.44,16.91,7.09,2,1,0,8,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0.11,2.69
Jalen Reagor,MIN,14,WR,13,8,0,104,0,1,0,0,61.5,13.62,8,13,3.38,2,1,1,15.4,12.5,100,0,0,0,0,0,4,0,25,0,0,0,6.25,1,1,0.25,0,1,0,25,0,0,0,0,0,0,0,26.9,0.33,2.24
Cedrick Wilson,MIA,15,WR,17,12,0,136,0,0,0,1,70.6,10.82,8,11.33,4.25,2,0,0,11.8,0,0,1,0,5.9,0,0,1,0,8,0,0,0,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,26.4,0.11,2.03
K.J. Hamler,DEN,7,WR,15,7,3,165,0,0,0,0,46.7,24.87,11,23.57,3.29,5,1,0,33.3,14.3,0,2,0,13.3,0,0,2,0,23,0,0,0,11.5,8,2,1,0,1,0,50,0,0,0,0,0,0,0,25.8,0.12,2.87
Breshad Perriman,TB,11,WR,19,9,0,110,0,1,0,1,47.4,15.11,5.79,12.22,5.89,6,1,1,31.6,11.1,100,3,1,15.8,11.1,100,2,0,-7,0,0,0,-3.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25.3,0.11,2.3
N'Keal Harry,CHI,7,WR,9,7,1,116,0,1,0,0,77.8,16.56,12.89,16.57,2.29,3,2,1,33.3,28.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0.14,3.51
DeSean Jackson,BLT,7,WR,17,9,1,153,0,0,0,0,52.9,17.94,9,17,2.56,3,0,0,17.6,0,0,1,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,0.22,2.7
Tom Kennedy,DET,7,WR,13,8,1,141,0,0,0,0,61.5,9.46,10.85,17.63,9.38,2,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0.1,2.76
David Sills,NYG,9,WR,17,11,0,106,0,0,0,1,64.7,7.88,6.24,9.64,3.64,2,2,0,11.8,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0.08,1.96
Jeff Smith,NYJ,11,WR,12,8,1,134,0,0,0,0,66.7,13.08,11.17,16.75,5.13,5,2,0,41.7,25,0,2,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0.15,2.67
Anthony Schwartz,CLV,10,WR,10,4,0,51,0,0,0,2,40,14.6,5.1,12.75,7.5,1,0,0,10,0,0,0,0,0,0,0,4,0,57,0,1,0,14.25,2.5,1,0.25,1,0,0,0,0,0,0,0,0,0,0,20.8,0.19,2.6
Kenny Golladay,NYG,12,WR,17,6,0,81,0,1,0,2,35.3,10.41,4.76,13.5,1.83,4,2,1,23.5,33.3,100,2,1,11.8,16.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0.08,3.35
Samori Toure,GB,11,WR,9,5,0,82,0,1,0,0,55.6,19.78,9.11,16.4,2,4,2,1,44.4,40,100,1,1,11.1,20,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.2,0.17,3.84
T.Y. Hilton,DAL,3,WR,10,7,1,121,0,0,0,2,70,17.1,12.1,17.29,5,1,1,0,10,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0.32,2.73
Michael Bandy,LAC,10,WR,18,10,0,89,0,0,0,1,55.6,11.17,4.94,8.9,2,3,2,0,16.7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0.09,1.89
Marcus Johnson,NYG,14,WR,20,9,0,99,0,0,0,2,45,10.95,4.95,11,4.11,6,2,0,30,22.2,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.9,0.06,2.1
Marcus Jones,NE,5,WR,4,4,1,78,0,1,1,0,100,-4.25,19.5,19.5,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0.99,4.45
